index,name
104,logU_-2.14_Hden_1_Zism_1.075_CN_1
105,logU_-2.14_Hden_1_Zism_1.229_CN_0.05
106,logU_-2.14_Hden_1_Zism_1.229_CN_0.15
107,logU_-2.14_Hden_1_Zism_1.229_CN_0.25
108,logU_-2.14_Hden_1_Zism_1.229_CN_0.45
109,logU_-2.14_Hden_1_Zism_1.229_CN_0.65
110,logU_-2.14_Hden_1_Zism_1.229_CN_0.85
111,logU_-2.14_Hden_1_Zism_1.229_CN_1
112,logU_-2.14_Hden_1_Zism_1.382_CN_0.05
113,logU_-2.14_Hden_1_Zism_1.382_CN_0.15
114,logU_-2.14_Hden_1_Zism_1.382_CN_0.25
115,logU_-2.14_Hden_1_Zism_1.382_CN_0.45
116,logU_-2.14_Hden_1_Zism_1.382_CN_0.65
117,logU_-2.14_Hden_1_Zism_1.382_CN_0.85
118,logU_-2.14_Hden_1_Zism_1.382_CN_1
119,logU_-2.14_Hden_1_Zism_1.536_CN_0.05
120,logU_-2.14_Hden_1_Zism_1.536_CN_0.15
121,logU_-2.14_Hden_1_Zism_1.536_CN_0.25
122,logU_-2.14_Hden_1_Zism_1.536_CN_0.45
123,logU_-2.14_Hden_1_Zism_1.536_CN_0.65
124,logU_-2.14_Hden_1_Zism_1.536_CN_0.85
125,logU_-2.14_Hden_1_Zism_1.536_CN_1
126,logU_-2.14_Hden_2_Zism_0.386_CN_0.05
127,logU_-2.14_Hden_2_Zism_0.386_CN_0.15
128,logU_-2.14_Hden_2_Zism_0.386_CN_0.25
129,logU_-2.14_Hden_2_Zism_0.386_CN_0.45
130,logU_-2.14_Hden_2_Zism_0.386_CN_0.65
131,logU_-2.14_Hden_2_Zism_0.386_CN_0.85
132,logU_-2.14_Hden_2_Zism_0.386_CN_1
133,logU_-2.14_Hden_2_Zism_0.461_CN_0.05
134,logU_-2.14_Hden_2_Zism_0.461_CN_0.15
135,logU_-2.14_Hden_2_Zism_0.461_CN_0.25
136,logU_-2.14_Hden_2_Zism_0.461_CN_0.45
137,logU_-2.14_Hden_2_Zism_0.461_CN_0.65
138,logU_-2.14_Hden_2_Zism_0.461_CN_0.85
139,logU_-2.14_Hden_2_Zism_0.461_CN_1
140,logU_-2.14_Hden_2_Zism_0.614_CN_0.05
141,logU_-2.14_Hden_2_Zism_0.614_CN_0.15
142,logU_-2.14_Hden_2_Zism_0.614_CN_0.25
143,logU_-2.14_Hden_2_Zism_0.614_CN_0.45
144,logU_-2.14_Hden_2_Zism_0.614_CN_0.65
145,logU_-2.14_Hden_2_Zism_0.614_CN_0.85
146,logU_-2.14_Hden_2_Zism_0.614_CN_1
147,logU_-2.14_Hden_2_Zism_0.768_CN_0.05
148,logU_-2.14_Hden_2_Zism_0.768_CN_0.15
149,logU_-2.14_Hden_2_Zism_0.768_CN_0.25
150,logU_-2.14_Hden_2_Zism_0.768_CN_0.45
151,logU_-2.14_Hden_2_Zism_0.768_CN_0.65
152,logU_-2.14_Hden_2_Zism_0.768_CN_0.85
153,logU_-2.14_Hden_2_Zism_0.768_CN_1
154,logU_-2.14_Hden_2_Zism_0.922_CN_0.05
155,logU_-2.14_Hden_2_Zism_0.922_CN_0.15
156,logU_-2.14_Hden_2_Zism_0.922_CN_0.25
157,logU_-2.14_Hden_2_Zism_0.922_CN_0.45
158,logU_-2.14_Hden_2_Zism_0.922_CN_0.65
159,logU_-2.14_Hden_2_Zism_0.922_CN_0.85
160,logU_-2.14_Hden_2_Zism_0.922_CN_1
161,logU_-2.14_Hden_2_Zism_1.075_CN_0.05
162,logU_-2.14_Hden_2_Zism_1.075_CN_0.15
163,logU_-2.14_Hden_2_Zism_1.075_CN_0.25
164,logU_-2.14_Hden_2_Zism_1.075_CN_0.45
165,logU_-2.14_Hden_2_Zism_1.075_CN_0.65
166,logU_-2.14_Hden_2_Zism_1.075_CN_0.85
167,logU_-2.14_Hden_2_Zism_1.075_CN_1
168,logU_-2.14_Hden_2_Zism_1.229_CN_0.05
169,logU_-2.14_Hden_2_Zism_1.229_CN_0.15
170,logU_-2.14_Hden_2_Zism_1.229_CN_0.25
171,logU_-2.14_Hden_2_Zism_1.229_CN_0.45
172,logU_-2.14_Hden_2_Zism_1.229_CN_0.65
173,logU_-2.14_Hden_2_Zism_1.229_CN_0.85
174,logU_-2.14_Hden_2_Zism_1.229_CN_1
175,logU_-2.14_Hden_2_Zism_1.382_CN_0.05
176,logU_-2.14_Hden_2_Zism_1.382_CN_0.15
177,logU_-2.14_Hden_2_Zism_1.382_CN_0.25
178,logU_-2.14_Hden_2_Zism_1.382_CN_0.45
179,logU_-2.14_Hden_2_Zism_1.382_CN_0.65
180,logU_-2.14_Hden_2_Zism_1.382_CN_0.85
181,logU_-2.14_Hden_2_Zism_1.382_CN_1
182,logU_-2.14_Hden_2_Zism_1.536_CN_0.05
183,logU_-2.14_Hden_2_Zism_1.536_CN_0.15
184,logU_-2.14_Hden_2_Zism_1.536_CN_0.25
185,logU_-2.14_Hden_2_Zism_1.536_CN_0.45
186,logU_-2.14_Hden_2_Zism_1.536_CN_0.65
187,logU_-2.14_Hden_2_Zism_1.536_CN_0.85
188,logU_-2.14_Hden_2_Zism_1.536_CN_1
189,logU_-2.14_Hden_3_Zism_0.386_CN_0.05
190,logU_-2.14_Hden_3_Zism_0.386_CN_0.15
191,logU_-2.14_Hden_3_Zism_0.386_CN_0.25
192,logU_-2.14_Hden_3_Zism_0.386_CN_0.45
193,logU_-2.14_Hden_3_Zism_0.386_CN_0.65
194,logU_-2.14_Hden_3_Zism_0.386_CN_0.85
195,logU_-2.14_Hden_3_Zism_0.386_CN_1
196,logU_-2.14_Hden_3_Zism_0.461_CN_0.05
197,logU_-2.14_Hden_3_Zism_0.461_CN_0.15
198,logU_-2.14_Hden_3_Zism_0.461_CN_0.25
199,logU_-2.14_Hden_3_Zism_0.461_CN_0.45
200,logU_-2.14_Hden_3_Zism_0.461_CN_0.65
201,logU_-2.14_Hden_3_Zism_0.461_CN_0.85
202,logU_-2.14_Hden_3_Zism_0.461_CN_1
203,logU_-2.14_Hden_3_Zism_0.614_CN_0.05
204,logU_-2.14_Hden_3_Zism_0.614_CN_0.15
205,logU_-2.14_Hden_3_Zism_0.614_CN_0.25
206,logU_-2.14_Hden_3_Zism_0.614_CN_0.45
207,logU_-2.14_Hden_3_Zism_0.614_CN_0.65
208,logU_-2.14_Hden_3_Zism_0.614_CN_0.85
209,logU_-2.14_Hden_3_Zism_0.614_CN_1
210,logU_-2.14_Hden_3_Zism_0.768_CN_0.05
211,logU_-2.14_Hden_3_Zism_0.768_CN_0.15
212,logU_-2.14_Hden_3_Zism_0.768_CN_0.25
213,logU_-2.14_Hden_3_Zism_0.768_CN_0.45
214,logU_-2.14_Hden_3_Zism_0.768_CN_0.65
215,logU_-2.14_Hden_3_Zism_0.768_CN_0.85
216,logU_-2.14_Hden_3_Zism_0.768_CN_1
217,logU_-2.14_Hden_3_Zism_0.922_CN_0.05
218,logU_-2.14_Hden_3_Zism_0.922_CN_0.15
219,logU_-2.14_Hden_3_Zism_0.922_CN_0.25
220,logU_-2.14_Hden_3_Zism_0.922_CN_0.45
221,logU_-2.14_Hden_3_Zism_0.922_CN_0.65
222,logU_-2.14_Hden_3_Zism_0.922_CN_0.85
223,logU_-2.14_Hden_3_Zism_0.922_CN_1
224,logU_-2.14_Hden_3_Zism_1.075_CN_0.05
225,logU_-2.14_Hden_3_Zism_1.075_CN_0.15
226,logU_-2.14_Hden_3_Zism_1.075_CN_0.25
227,logU_-2.14_Hden_3_Zism_1.075_CN_0.45
